id,plant,disease,symptoms,cause,treatment,prevention,affected_part,severity,favorable_conditions
1,Grape,Black Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Cool and wet
2,Mango,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Low,Poor airflow
3,Potato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,Low,Cool and wet
4,Watermelon,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Low,Cool and wet
5,Rice,Brown Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,High humidity
6,Tomato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Stem,Severe,High humidity
7,Mango,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,High,Warm and humid
8,Pomegranate,Bacterial Blight,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,High,High humidity
9,Potato,Blackleg,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Low,Warm and humid
10,Rice,Sheath Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,High,Cool and wet
11,Apple,Apple Scab,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Moderate,Warm and humid
12,Orange,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,High,High humidity
13,Peach,Bacterial Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Moderate,Warm and humid
14,Maize,Common Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Moderate,Poor airflow
15,Pomegranate,Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Moderate,Warm and humid
16,Orange,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Severe,Warm and humid
17,Strawberry,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Fruit,High,Poor airflow
18,Pomegranate,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Stem,Moderate,Cool and wet
19,Orange,Sooty Mold,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,High,Poor airflow
20,Wheat,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,High,Cool and wet
21,Watermelon,Fusarium Wilt,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Low,Cool and wet
22,Peach,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Low,Poor airflow
23,Maize,Downy Mildew,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,High,Warm and humid
24,Grape,Botrytis Bunch Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,High,High humidity
25,Chilli,Bacterial Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Low,Excess moisture
26,Peach,Crown Gall,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,High,Excess moisture
27,Strawberry,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,High,Excess moisture
28,Watermelon,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Root,High,Warm and humid
29,Grape,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,High,Warm and humid
30,Orange,Sooty Mold,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Low,Warm and humid
31,Rice,Bacterial Leaf Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,Cool and wet
32,Lemon,Root Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Severe,Excess moisture
33,Strawberry,Leaf Scorch,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,High,Excess moisture
34,Bell Pepper,Bacterial Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Moderate,High humidity
35,Tomato,Septoria Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Moderate,Cool and wet
36,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,Low,Warm and humid
37,Potato,Bacterial Wilt,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,Poor airflow
38,Strawberry,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Moderate,Excess moisture
39,Cucumber,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Severe,Cool and wet
40,Grape,Black Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Severe,Poor airflow
41,Chilli,Leaf Curl,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Low,Warm and humid
42,Pomegranate,Leaf Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Moderate,Cool and wet
43,Rice,Brown Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Severe,High humidity
44,Bell Pepper,Phytophthora Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,Warm and humid
45,Potato,Viral Leaf Curl,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,Cool and wet
46,Chilli,Leaf Curl,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Moderate,Warm and humid
47,Peach,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Low,High humidity
48,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Severe,Poor airflow
49,Mango,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,High,Warm and humid
50,Wheat,Septoria Leaf Blotch,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,High,Warm and humid
51,Wheat,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,Moderate,Excess moisture
52,Apple,Black Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,Poor airflow
53,Grape,Botrytis Bunch Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Low,Warm and humid
54,Chilli,Damping Off,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,High,Cool and wet
55,Papaya,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,High,Cool and wet
56,Guava,Algal Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Low,Poor airflow
57,Maize,Ear Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Low,Cool and wet
58,Watermelon,Gummy Stem Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,High,Cool and wet
59,Banana,Yellow Sigatoka,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,High humidity
60,Maize,Ear Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,High,Cool and wet
61,Lemon,Citrus Canker,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,High humidity
62,Maize,Common Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,High humidity
63,Watermelon,Fusarium Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Low,Poor airflow
64,Lemon,Citrus Canker,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,High,High humidity
65,Peach,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Severe,Warm and humid
66,Grape,Black Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Moderate,Warm and humid
67,Banana,Bunchy Top,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Moderate,Cool and wet
68,Potato,Bacterial Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Low,Cool and wet
69,Orange,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Severe,Cool and wet
70,Orange,Greasy Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Severe,Cool and wet
71,Papaya,Black Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Moderate,Cool and wet
72,Grape,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Root,Low,Cool and wet
73,Strawberry,Angular Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,High,Cool and wet
74,Tomato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Stem,Severe,High humidity
75,Apple,Cedar Apple Rust,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Severe,High humidity
76,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,High,Excess moisture
77,Lemon,Citrus Canker,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Severe,High humidity
78,Chilli,Damping Off,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Low,Excess moisture
79,Strawberry,Leaf Scorch,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Severe,Excess moisture
80,Rice,Bacterial Leaf Blight,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Severe,High humidity
81,Maize,Gray Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Excess moisture
82,Guava,Algal Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Severe,Excess moisture
83,Mango,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Severe,Cool and wet
84,Maize,Ear Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Severe,Warm and humid
85,Guava,Fruit Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,Excess moisture
86,Papaya,Black Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Severe,Excess moisture
